Model,Precision,Recall,F1 Score,accuracy
SVM,0.0,0.0,0.0,0.8586956521739131
Random Forest,0.0,0.0,0.0,0.8478260869565217
Logistic Regression,0.0,0.0,0.0,0.8478260869565217
Voting Classifier,0.0,0.0,0.0,0.8586956521739131
SVM (SMOTE),0.42105263157894735,0.6153846153846154,0.5,0.8260869565217391
Random Forest (SMOTE),0.4,0.15384615384615385,0.2222222222222222,0.8478260869565217
Logistic Regression (SMOTE),0.35,0.5384615384615384,0.42424242424242425,0.7934782608695652
Voting Classifier (SMOTE),0.4117647058823529,0.5384615384615384,0.4666666666666667,0.8260869565217391
SVM (SMOTE RFECV),0.3333333333333333,0.6153846153846154,0.43243243243243246,0.7717391304347826
Random Forest (SMOTE RFECV),0.4,0.15384615384615385,0.2222222222222222,0.8478260869565217
Logistic Regression (SMOTE RFECV),0.35,0.5384615384615384,0.42424242424242425,0.7934782608695652
Voting Classifier (SMOTE RFECV),0.35,0.5384615384615384,0.42424242424242425,0.7934782608695652
SVM (SMOTE IG),0.26666666666666666,0.6153846153846154,0.37209302325581395,0.7065217391304348
Random Forest (SMOTE IG),0.3333333333333333,0.15384615384615385,0.21052631578947367,0.8369565217391305
Logistic Regression (SMOTE IG),0.36363636363636365,0.6153846153846154,0.45714285714285713,0.7934782608695652
Voting Classifier (SMOTE IG),0.38095238095238093,0.6153846153846154,0.47058823529411764,0.8043478260869565
