Model,Precision,Recall,F1 Score,accuracy
SVM,0.7142857142857143,0.025380710659898477,0.049019607843137254,0.7821448624368332
Random Forest,0.48125,0.19543147208121828,0.2779783393501805,0.7754070746771476
Logistic Regression,0.5783132530120482,0.1218274111675127,0.20125786163522014,0.7860752386299832
Voting Classifier,0.64,0.08121827411167512,0.14414414414414414,0.7866367209432903
SVM (SMOT),0.4252577319587629,0.41878172588832485,0.4219948849104859,0.7462099943851769
Random Forest (SMOT),0.43137254901960786,0.3350253807106599,0.37714285714285717,0.755193711398091
Logistic Regression (SMOT),0.39611650485436894,0.5177664974619289,0.44884488448844884,0.7186973610331274
Voting Classifier (SMOT),0.42685851318944845,0.4517766497461929,0.43896424167694204,0.7445255474452555
SVM (SMOT RFECV),0.42676767676767674,0.4289340101522843,0.4278481012658228,0.7462099943851769
Random Forest (SMOT RFECV),0.4411764705882353,0.3426395939086294,0.38571428571428573,0.7585626052779337
Logistic Regression (SMOT RFECV),0.394990366088632,0.5203045685279187,0.44906900328587074,0.7175743964065132
Voting Classifier (SMOT RFECV),0.4339622641509434,0.467005076142132,0.44987775061124696,0.7473329590117911
SVM (SMOT Chi2),0.45714285714285713,0.36548223350253806,0.40620592383638926,0.7636159460976979
Random Forest (SMOT Chi2),0.3817663817663818,0.3401015228426396,0.3597315436241611,0.7321729365524986
Logistic Regression (SMOT Chi2),0.3685152057245081,0.5228426395939086,0.4323189926547744,0.6962380685008422
Voting Classifier (SMOT Chi2),0.42776203966005666,0.383248730964467,0.4042838018741633,0.7501403705783268
