Model,Precision,Recall,F1 Score,accuracy
SVM,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6875
Random Forest,1.0,0.42857142857142855,0.6,0.75
Logistic Regression,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6875
Voting Classifier,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.71875
SVM (SMOT),0.5555555555555556,0.7142857142857143,0.625,0.625
Random Forest (SMOT),0.7692307692307693,0.7142857142857143,0.7407407407407407,0.78125
Logistic Regression (SMOT),0.5263157894736842,0.7142857142857143,0.6060606060606061,0.59375
Voting Classifier (SMOT),0.5555555555555556,0.7142857142857143,0.625,0.625
SVM (SMOT RFECV),0.5263157894736842,0.7142857142857143,0.6060606060606061,0.59375
Random Forest (SMOT RFECV),0.7692307692307693,0.7142857142857143,0.7407407407407407,0.78125
Logistic Regression (SMOT RFECV),0.5555555555555556,0.7142857142857143,0.625,0.625
Voting Classifier (SMOT RFECV),0.5555555555555556,0.7142857142857143,0.625,0.625
SVM (SMOT Chi2),0.6363636363636364,0.5,0.56,0.65625
Random Forest (SMOT Chi2),0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6875
Logistic Regression (SMOT Chi2),0.6363636363636364,0.5,0.56,0.65625
Voting Classifier (SMOT Chi2),0.6363636363636364,0.5,0.56,0.65625
