Model,Precision,Recall,F1 Score,accuracy
SVM,0.5,0.08333333333333333,0.14285714285714285,0.8441558441558441
Random Forest,0.0,0.0,0.0,0.8311688311688312
Logistic Regression,0.8,0.3333333333333333,0.47058823529411764,0.8831168831168831
Voting Classifier,1.0,0.08333333333333333,0.15384615384615385,0.8571428571428571
SVM (SMOTE),0.30434782608695654,0.5833333333333334,0.4,0.7272727272727273
Random Forest (SMOTE),1.0,0.4166666666666667,0.5882352941176471,0.9090909090909091
Logistic Regression (SMOTE),0.3181818181818182,0.5833333333333334,0.4117647058823529,0.7402597402597403
Voting Classifier (SMOTE),0.3888888888888889,0.5833333333333334,0.4666666666666667,0.7922077922077922
SVM (SMOTE RFECV),0.4117647058823529,0.5833333333333334,0.4827586206896552,0.8051948051948052
Random Forest (SMOTE RFECV),1.0,0.4166666666666667,0.5882352941176471,0.9090909090909091
Logistic Regression (SMOTE RFECV),0.47368421052631576,0.75,0.5806451612903226,0.8311688311688312
Voting Classifier (SMOTE RFECV),0.4444444444444444,0.6666666666666666,0.5333333333333333,0.8181818181818182
SVM (SMOTE IG),0.47368421052631576,0.75,0.5806451612903226,0.8311688311688312
Random Forest (SMOTE IG),0.8,0.3333333333333333,0.47058823529411764,0.8831168831168831
Logistic Regression (SMOTE IG),0.5,0.8333333333333334,0.625,0.8441558441558441
Voting Classifier (SMOTE IG),0.47368421052631576,0.75,0.5806451612903226,0.8311688311688312
