Model,Precision,Recall,F1 Score,accuracy
SVM,0.0,0.0,0.0,0.9787234042553191
Random Forest,0.0,0.0,0.0,0.9787234042553191
Logistic Regression,0.0,0.0,0.0,0.9787234042553191
Voting Classifier,0.0,0.0,0.0,0.9787234042553191
SVM (SMOT),0.024390243902439025,0.16666666666666666,0.0425531914893617,0.8404255319148937
Random Forest (SMOT),0.0,0.0,0.0,0.9680851063829787
Logistic Regression (SMOT),0.023255813953488372,0.16666666666666666,0.04081632653061224,0.8333333333333334
Voting Classifier (SMOT),0.03125,0.16666666666666666,0.05263157894736842,0.8723404255319149
SVM (SMOT RFECV),0.024390243902439025,0.16666666666666666,0.0425531914893617,0.8404255319148937
Random Forest (SMOT RFECV),0.0,0.0,0.0,0.9609929078014184
Logistic Regression (SMOT RFECV),0.023255813953488372,0.16666666666666666,0.04081632653061224,0.8333333333333334
Voting Classifier (SMOT RFECV),0.030303030303030304,0.16666666666666666,0.05128205128205128,0.8687943262411347
SVM (SMOT Chi2),0.058823529411764705,0.5,0.10526315789473684,0.8191489361702128
Random Forest (SMOT Chi2),0.0,0.0,0.0,0.9290780141843972
Logistic Regression (SMOT Chi2),0.04054054054054054,0.5,0.075,0.7375886524822695
Voting Classifier (SMOT Chi2),0.06976744186046512,0.5,0.12244897959183673,0.8475177304964538
