Model,Precision,Recall,F1 Score,accuracy
SVM,0.8888888888888888,0.36363636363636365,0.5161290322580645,0.8884758364312267
Random Forest,0.9444444444444444,0.38636363636363635,0.5483870967741935,0.895910780669145
Logistic Regression,0.8518518518518519,0.5227272727272727,0.647887323943662,0.9070631970260223
Voting Classifier,0.8947368421052632,0.38636363636363635,0.5396825396825397,0.8921933085501859
SVM (SMOT),0.48717948717948717,0.8636363636363636,0.6229508196721312,0.828996282527881
Random Forest (SMOT),0.7073170731707317,0.6590909090909091,0.6823529411764706,0.8996282527881041
Logistic Regression (SMOT),0.4935064935064935,0.8636363636363636,0.628099173553719,0.8327137546468402
Voting Classifier (SMOT),0.5205479452054794,0.8636363636363636,0.6495726495726496,0.8475836431226765
SVM (SMOT RFECV),0.47560975609756095,0.8863636363636364,0.6190476190476191,0.8215613382899628
Random Forest (SMOT RFECV),0.7142857142857143,0.6818181818181818,0.6976744186046512,0.9033457249070632
Logistic Regression (SMOT RFECV),0.49333333333333335,0.8409090909090909,0.6218487394957983,0.8327137546468402
Voting Classifier (SMOT RFECV),0.5135135135135135,0.8636363636363636,0.6440677966101694,0.8438661710037175
SVM (SMOT Chi2),0.40425531914893614,0.8636363636363636,0.5507246376811594,0.7695167286245354
Random Forest (SMOT Chi2),0.6730769230769231,0.7954545454545454,0.7291666666666666,0.9033457249070632
Logistic Regression (SMOT Chi2),0.42857142857142855,0.8863636363636364,0.5777777777777777,0.7881040892193308
Voting Classifier (SMOT Chi2),0.47560975609756095,0.8863636363636364,0.6190476190476191,0.8215613382899628
